path,name,description_present,description_starts_with_use_when,owner_present,allowedTools_present,allowedTools_count
skills/agent-orchestration/SKILL.md,agent-orchestration,yes,yes,no,no,0
skills/api-design/SKILL.md,api-design,yes,yes,no,no,0
skills/architecture-patterns/SKILL.md,architecture-patterns,yes,yes,no,no,0
skills/bug-hunting/SKILL.md,bug-hunting,yes,yes,no,no,0
skills/code-review-and-quality/SKILL.md,code-review-and-quality,yes,yes,no,no,0
skills/context-engineering/SKILL.md,context-engineering,yes,yes,no,no,0
skills/debugging-and-error-recovery/SKILL.md,debugging-and-error-recovery,yes,yes,no,no,0
skills/dev-craft/SKILL.md,dev-craft,yes,yes,no,no,0
skills/dev-craft/plugins/api-versioning/SKILL.md,,no,no,no,no,0
skills/dev-craft/plugins/database-migrations/SKILL.md,,no,no,no,no,0
skills/dev-craft/plugins/dependency-audit/SKILL.md,,no,no,no,no,0
skills/dev-craft/plugins/performance-profiling/SKILL.md,,no,no,no,no,0
skills/dev-craft/plugins/security-audit/SKILL.md,,no,no,no,no,0
skills/devops-automation/SKILL.md,devops-automation,yes,yes,no,no,0
skills/dispatching-parallel-agents/SKILL.md,dispatching-parallel-agents,yes,yes,no,no,0
skills/documentation-engineering/SKILL.md,documentation-engineering,yes,yes,no,no,0
skills/image-to-design-spec/SKILL.md,image-to-design-spec,yes,yes,no,no,0
skills/observability-engineering/SKILL.md,observability-engineering,yes,yes,no,no,0
skills/planning-and-task-breakdown/SKILL.md,planning-and-task-breakdown,yes,yes,no,no,0
skills/product-thinking/SKILL.md,product-thinking,yes,yes,no,no,0
skills/project-discovery/SKILL.md,project-discovery,yes,yes,no,no,0
skills/quality-gates/SKILL.md,quality-gates,yes,yes,no,no,0
skills/testing-strategies/SKILL.md,testing-strategies,yes,yes,no,no,0
skills/ui-craft/SKILL.md,ui-craft,yes,yes,no,no,0
skills/ui-craft/plugins/accessibility-deep/SKILL.md,,no,no,no,no,0
skills/ui-craft/plugins/animation-craft/SKILL.md,,no,no,no,no,0
skills/ui-craft/plugins/design-system-validate/SKILL.md,,no,no,no,no,0
skills/ui-craft/plugins/figma-sync/SKILL.md,,no,no,no,no,0
skills/ui-craft/plugins/visual-regression/SKILL.md,,no,no,no,no,0
skills/verification-before-completion/SKILL.md,verification-before-completion,yes,yes,no,no,0
